Run #1,Run #1,Run #1,Run #1
Date and Time,Time (s),Voltage (V),Voltage (V)
11/18/18 1:31,87.4,0.163,0.005
11/18/18 1:31,87.6,0.163,0.004
11/18/18 1:31,87.8,0.167,0.005
11/18/18 1:31,88,0.169,0.005
11/18/18 1:31,88.2,0.168,0.005
11/18/18 1:31,88.4,0.179,0.005
11/18/18 1:31,88.6,0.186,0.005
11/18/18 1:31,88.8,0.201,0.004
11/18/18 1:31,89,0.208,0.006
11/18/18 1:31,89.2,0.212,0.005
11/18/18 1:31,89.4,0.209,0.005
11/18/18 1:31,89.6,0.209,0.005
11/18/18 1:31,89.8,0.226,0.005
11/18/18 1:31,90,0.228,0.006
11/18/18 1:31,90.2,0.238,0.005
11/18/18 1:31,90.4,0.255,0.005
11/18/18 1:31,90.6,0.273,0.005
11/18/18 1:31,90.8,0.282,0.005
11/18/18 1:31,91,0.321,0.005
11/18/18 1:31,91.2,0.351,0.006
11/18/18 1:31,91.4,0.37,0.005
11/18/18 1:31,91.6,0.396,0.005
11/18/18 1:31,91.8,0.414,0.385
11/18/18 1:31,92,0.45,0.385
11/18/18 1:31,92.2,0.482,0.005
11/18/18 1:31,92.4,0.522,0.006
11/18/18 1:31,92.6,0.552,0.005
11/18/18 1:31,92.8,0.56,0.005
11/18/18 1:31,93,0.576,0.005
11/18/18 1:31,93.2,0.596,0.006
11/18/18 1:31,93.4,0.62,0.005
11/18/18 1:31,93.6,0.624,0.004
11/18/18 1:31,93.8,0.637,0.005
11/18/18 1:31,94,0.624,0.006
11/18/18 1:31,94.2,0.638,0.005
11/18/18 1:31,94.4,0.659,0.005
11/18/18 1:31,94.6,0.668,0.005
11/18/18 1:31,94.8,0.674,0.005
11/18/18 1:31,95,0.673,0.006
11/18/18 1:31,95.2,0.671,0.005
11/18/18 1:31,95.4,0.669,0.005
11/18/18 1:31,95.6,0.672,0.006
11/18/18 1:31,95.8,0.66,0.005
11/18/18 1:31,96,0.668,0.006
11/18/18 1:31,96.2,0.677,0.007
11/18/18 1:31,96.4,0.674,0.005
11/18/18 1:31,96.6,0.683,0.006
11/18/18 1:31,96.8,0.704,0.005
11/18/18 1:31,97,0.735,0.005
11/18/18 1:31,97.2,0.771,0.006
11/18/18 1:31,97.4,0.783,0.005
11/18/18 1:31,97.6,0.798,0.007
11/18/18 1:31,97.8,0.83,0.005
11/18/18 1:31,98,0.859,0.005
11/18/18 1:31,98.2,0.872,0.005
11/18/18 1:31,98.4,0.879,0.005
11/18/18 1:31,98.6,0.901,0.007
11/18/18 1:31,98.8,0.923,0.006
11/18/18 1:31,99,0.944,0.006
11/18/18 1:31,99.2,0.957,0.006
11/18/18 1:31,99.4,0.983,0.005
11/18/18 1:31,99.6,1.016,0.007
11/18/18 1:31,99.8,1.014,0.007
11/18/18 1:31,100,1.033,0.006
11/18/18 1:31,100.2,1.051,0.006
11/18/18 1:31,100.4,1.077,0.007
11/18/18 1:31,100.6,1.113,0.006
11/18/18 1:31,100.8,1.104,0.007
11/18/18 1:31,101,1.118,0.005
11/18/18 1:31,101.2,1.118,0.006
11/18/18 1:31,101.4,1.124,0.006
11/18/18 1:31,101.6,1.136,0.005
11/18/18 1:31,101.8,1.141,0.385
11/18/18 1:31,102,1.133,0.007
11/18/18 1:31,102.2,1.127,0.006
11/18/18 1:31,102.4,1.115,0.006
11/18/18 1:31,102.6,1.086,0.006
11/18/18 1:31,102.8,1.089,0.006
11/18/18 1:31,103,1.069,0.007
11/18/18 1:31,103.2,1.067,0.005
11/18/18 1:31,103.4,1.063,0.007
11/18/18 1:31,103.6,1.059,0.005
11/18/18 1:31,103.8,1.055,0.005
11/18/18 1:31,104,1.045,0.006
11/18/18 1:31,104.2,1.042,0.006
11/18/18 1:31,104.4,1.03,0.005
11/18/18 1:31,104.6,1.041,0.005
11/18/18 1:31,104.8,1.016,0.005
11/18/18 1:31,105,1.01,0.006
11/18/18 1:31,105.2,1.01,0.005
11/18/18 1:31,105.4,0.996,0.006
11/18/18 1:31,105.6,0.995,0.007
11/18/18 1:31,105.8,0.981,0.006
11/18/18 1:31,106,0.971,0.006
11/18/18 1:31,106.2,0.966,0.006
11/18/18 1:31,106.4,0.948,0.006
11/18/18 1:31,106.6,0.927,0.006
11/18/18 1:31,106.8,0.932,0.006
11/18/18 1:31,107,0.923,0.006
11/18/18 1:31,107.2,0.902,0.005
11/18/18 1:31,107.4,0.893,0.007
11/18/18 1:31,107.6,0.883,0.006
11/18/18 1:31,107.8,0.869,0.006
11/18/18 1:31,108,0.883,0.007
11/18/18 1:31,108.2,0.872,0.005
11/18/18 1:31,108.4,0.872,0.007
11/18/18 1:31,108.6,0.869,0.005
11/18/18 1:31,108.8,0.853,0.005
11/18/18 1:31,109,0.854,0.007
11/18/18 1:31,109.2,0.859,0.007
11/18/18 1:31,109.4,0.859,0.005
11/18/18 1:31,109.6,0.864,0.005
11/18/18 1:31,109.8,0.873,0.006
11/18/18 1:31,110,0.873,0.005
11/18/18 1:31,110.2,0.856,0.006
11/18/18 1:31,110.4,0.851,0.006
11/18/18 1:31,110.6,0.868,0.006
11/18/18 1:31,110.8,0.874,0.005
11/18/18 1:31,111,0.883,0.005
11/18/18 1:31,111.2,0.889,0.007
11/18/18 1:31,111.4,0.903,0.006
11/18/18 1:31,111.6,0.923,0.007
11/18/18 1:31,111.8,0.935,0.385
11/18/18 1:31,112,0.916,0.385
11/18/18 1:31,112.2,0.908,0.005
11/18/18 1:31,112.4,0.891,0.006
11/18/18 1:31,112.6,0.886,0.007
11/18/18 1:31,112.8,0.881,0.006
11/18/18 1:31,113,0.844,0.006
11/18/18 1:31,113.2,0.806,0.005
11/18/18 1:31,113.4,0.781,0.006
11/18/18 1:31,113.6,0.746,0.007
11/18/18 1:31,113.8,0.762,0.007
11/18/18 1:31,114,0.737,0.005
11/18/18 1:31,114.2,0.717,0.006
11/18/18 1:31,114.4,0.683,0.005
11/18/18 1:31,114.6,0.669,0.005
11/18/18 1:31,114.8,0.649,0.006
11/18/18 1:31,115,0.644,0.005
11/18/18 1:31,115.2,0.619,0.007
11/18/18 1:31,115.4,0.594,0.006
11/18/18 1:31,115.6,0.565,0.006
11/18/18 1:31,115.8,0.54,0.005
11/18/18 1:31,116,0.507,0.005
11/18/18 1:31,116.2,0.487,0.005
11/18/18 1:31,116.4,0.471,0.007
11/18/18 1:31,116.6,0.45,0.005
11/18/18 1:31,116.8,0.463,0.007
11/18/18 1:31,117,0.443,0.005
11/18/18 1:31,117.2,0.43,0.005
11/18/18 1:31,117.4,0.422,0.006
11/18/18 1:31,117.6,0.408,0.005
11/18/18 1:31,117.8,0.396,0.007
11/18/18 1:31,118,0.391,0.005
11/18/18 1:31,118.2,0.394,0.005
11/18/18 1:31,118.4,0.371,0.005
11/18/18 1:31,118.6,0.366,0.007
11/18/18 1:31,118.8,0.35,0.006
11/18/18 1:31,119,0.338,0.005
11/18/18 1:31,119.2,0.326,0.006
11/18/18 1:31,119.4,0.314,0.005
11/18/18 1:31,119.6,0.304,0.006
11/18/18 1:31,119.8,0.295,0.005
11/18/18 1:31,120,0.283,0.007
11/18/18 1:31,120.2,0.283,0.005
11/18/18 1:31,120.4,0.288,0.006
11/18/18 1:31,120.6,0.283,0.006
11/18/18 1:31,120.8,0.267,0.005
11/18/18 1:31,121,0.258,0.006
11/18/18 1:31,121.2,0.249,0.005
11/18/18 1:31,121.4,0.24,0.006
11/18/18 1:31,121.6,0.244,0.006
11/18/18 1:31,121.8,0.251,0.385
11/18/18 1:31,122,0.243,0.006
11/18/18 1:31,122.2,0.23,0.005
11/18/18 1:31,122.4,0.216,0.005
11/18/18 1:31,122.6,0.216,0.006
11/18/18 1:31,122.8,0.211,0.005
11/18/18 1:31,123,0.219,0.006
11/18/18 1:31,123.2,0.219,0.005
11/18/18 1:31,123.4,0.223,0.005
11/18/18 1:31,123.6,0.209,0.005
11/18/18 1:31,123.8,0.202,0.005
11/18/18 1:31,124,0.204,0.005
11/18/18 1:31,124.2,0.199,0.005
11/18/18 1:31,124.4,0.193,0.007
11/18/18 1:31,124.6,0.204,0.005
11/18/18 1:31,124.8,0.207,0.005
11/18/18 1:31,125,0.205,0.005
11/18/18 1:31,125.2,0.19,0.005
11/18/18 1:31,125.4,0.195,0.005
11/18/18 1:31,125.6,0.186,0.005
11/18/18 1:31,125.8,0.2,0.005
11/18/18 1:31,126,0.195,0.005
11/18/18 1:31,126.2,0.197,0.005
11/18/18 1:31,126.4,0.185,0.005
11/18/18 1:31,126.6,0.185,0.006
11/18/18 1:31,126.8,0.179,0.005
